District,Quarter,Avg_Price,Job_Risk_Factor,Investment_Risk_Score,Cluster,Market_Segment
Dublin 4,Q1 25,488875.4,4.3,26.39,1,Emerging/Growth
Dublin 15,Q1 25,503826.67,4.3,26.54,1,Emerging/Growth
Dublin 2,Q1 25,552821.14,4.3,27.03,1,Emerging/Growth
Dublin 8,Q4 24,433474.33,4.6,27.33,1,Emerging/Growth
Dublin 8,Q1 25,616446.93,4.3,27.66,1,Emerging/Growth
Dublin 1,Q1 25,615925.0,4.3,27.66,1,Emerging/Growth
Dublin 24,Q1 25,627476.38,4.3,27.77,1,Emerging/Growth
Dublin 15,Q4 24,526630.25,4.6,28.27,1,Emerging/Growth
Dublin 2,Q1 24,533343.0,4.6,28.33,1,Emerging/Growth
Dublin 2,Q4 24,549379.13,4.6,28.49,1,Emerging/Growth
Dublin 24,Q4 24,557720.92,4.6,28.58,1,Emerging/Growth
Dublin 1,Q1 24,567468.82,4.6,28.67,1,Emerging/Growth
Dublin 8,Q2 24,517332.5,4.7,28.67,1,Emerging/Growth
Dublin 4,Q1 24,598630.0,4.6,28.99,0,Stable/Blue-Chip
Dublin 4,Q2 24,550029.82,4.7,29.0,1,Emerging/Growth
Dublin 4,Q4 24,608580.15,4.6,29.09,0,Stable/Blue-Chip
Dublin 2,Q2 25,464820.8,4.9,29.15,1,Emerging/Growth
Dublin 8,Q1 24,619086.0,4.6,29.19,0,Stable/Blue-Chip
Dublin 1,Q4 24,633315.86,4.6,29.33,0,Stable/Blue-Chip
Dublin 2,Q2 24,602217.25,4.7,29.52,0,Stable/Blue-Chip
Dublin 24,Q2 24,618847.36,4.7,29.69,0,Stable/Blue-Chip
Dublin 24,Q1 24,670571.56,4.6,29.71,0,Stable/Blue-Chip
Dublin 24,Q2 25,527189.5,4.9,29.77,1,Emerging/Growth
Dublin 15,Q2 24,629317.18,4.7,29.79,0,Stable/Blue-Chip
Dublin 4,Q2 25,533704.0,4.9,29.84,1,Emerging/Growth
Dublin 15,Q3 24,552952.87,4.9,30.03,0,Stable/Blue-Chip
Dublin 8,Q3 24,558042.09,4.9,30.08,0,Stable/Blue-Chip
Dublin 8,Q2 25,568918.82,4.9,30.19,0,Stable/Blue-Chip
Dublin 15,Q1 24,730745.64,4.6,30.31,2,High-Volatility
Dublin 2,Q3 24,615954.43,4.9,30.66,0,Stable/Blue-Chip
Dublin 1,Q3 24,617484.7,4.9,30.67,0,Stable/Blue-Chip
Dublin 1,Q2 24,733865.2,4.7,30.84,2,High-Volatility
Dublin 1,Q2 25,642588.0,4.9,30.93,0,Stable/Blue-Chip
Dublin 24,Q3 24,645502.11,4.9,30.96,0,Stable/Blue-Chip
Dublin 15,Q2 25,675880.5,4.9,31.26,2,High-Volatility
Dublin 4,Q3 24,681838.63,4.9,31.32,2,High-Volatility
Dublin 4,Q3 25,563040.18,5.2,31.63,0,Stable/Blue-Chip
Dublin 24,Q3 25,654822.0,5.2,32.55,2,High-Volatility
Dublin 15,Q3 25,669766.21,5.2,32.7,2,High-Volatility
Dublin 2,Q3 25,703042.2,5.2,33.03,2,High-Volatility
Dublin 8,Q3 25,753121.58,5.2,33.53,2,High-Volatility
Dublin 1,Q3 25,781119.56,5.2,33.81,2,High-Volatility
